FILE,CELL,AREA_cell,AREA_nuc,N_total,N_thres_Total,N_thres_Nuc
FMR1blank01_w597_STACK__outline.txt,Cell_1,56872.5,0,70,40,40
FMR1blank01_w597_STACK__outline.txt,Cell_2,22747.5,0,2,2,2
FMR1blank02_w597_STACK__outline.txt,Cell_1,82556,0,0,0,0
FMR1blank02_w597_STACK__outline.txt,Cell_2,27624,0,0,0,0
FMR1blank03_w597_STACK__outline.txt,Cell_1,60698,0,0,0,0
FMR1blank03_w597_STACK__outline.txt,Cell_2,37844,0,1,0,0
FMR1blank04_w597_STACK__outline.txt,Cell_3,37621,0,262,115,115
FMR1blank04_w597_STACK__outline.txt,Cell_6,40791,0,1,1,1
FMR1blank05_w597_STACK__outline.txt,Cell_1,87969,0,7,2,2
FMR1blank05_w597_STACK__outline.txt,Cell_2,41896.5,0,1,0,0
FMR1blank06_w597_STACK__outline.txt,Cell_1,48997.5,0,94,49,49
FMR1blank06_w597_STACK__outline.txt,Cell_2,38773,0,0,0,0
FMR1blank07_w597_STACK__outline.txt,Cell_2,36205.5,0,0,0,0
FMR1blank07_w597_STACK__outline.txt,Cell_3,54037.5,0,0,0,0
FMR1blank08_w597_STACK__outline.txt,Cell_1,61019.5,0,68,48,48
FMR1blank08_w597_STACK__outline.txt,Cell_2,27295.5,0,0,0,0
FMR1blank09_w597_STACK__outline.txt,Cell_1,29786,0,32,19,19
FMR1blank09_w597_STACK__outline.txt,Cell_2,16869.5,0,1,1,1
FMR1blank10_w525_STACK__outline.txt,Cell_1,72270.5,0,25,8,8
FMR1blank10_w525_STACK__outline.txt,Cell_2,52650,0,20,2,2
FMR1blank11_w597_STACK__outline.txt,Cell_1,134566,0,11,9,9
FMR1blank11_w597_STACK__outline.txt,Cell_2,25406.5,0,0,0,0
FMR1blank12_w525_STACK__outline.txt,Cell_1,35332.5,0,210,26,26
FMR1blank12_w525_STACK__outline.txt,Cell_2,42815,0,36,0,0
FMR1blank13_w597_STACK__outline.txt,Cell_1,60839,0,94,56,56
FMR1blank13_w597_STACK__outline.txt,Cell_2,31296.5,0,1,0,0
FMR1blank15_w597_STACK__outline.txt,Cell_1,32217,0,18,14,14
FMR1blank15_w597_STACK__outline.txt,Cell_2,34025,0,10,7,7
FMR1blank16_w597_STACK__outline.txt,Cell_1,26523.5,0,80,45,45
FMR1blank16_w597_STACK__outline.txt,Cell_2,36013,0,0,0,0
FMR1blank17_w597_STACK__outline.txt,Cell_1,61680.5,0,0,0,0
FMR1blank17_w597_STACK__outline.txt,Cell_2,29915.5,0,0,0,0
FMR1blank18_w597_STACK__outline.txt,Cell_2,47029.5,0,5,2,2
FMR1blank18_w597_STACK__outline.txt,Cell_3,51785,0,115,70,70
FMR1blank19_w597_STACK__outline.txt,Cell_1,64336.5,0,43,31,31
FMR1blank19_w597_STACK__outline.txt,Cell_2,42363.5,0,0,0,0
FMR1kif5a01_w597_STACK__outline.txt,Cell_1,32301,0,0,0,0
FMR1kif5a01_w597_STACK__outline.txt,Cell_2,26726,0,0,0,0
FMR1kif5a02_w597_STACK__outline.txt,Cell_2,51530.5,0,5,5,5
FMR1kif5a02_w597_STACK__outline.txt,Cell_3,72252.5,0,8,7,7
FMR1kif5a03_w597_STACK__outline.txt,Cell_3,81407,0,61,48,48
FMR1kif5a03_w597_STACK__outline.txt,Cell_8,42889.5,0,4,4,4
FMR1kif5a04_w597_STACK__outline.txt,Cell_1,90435,0,8,5,5
FMR1kif5a04_w597_STACK__outline.txt,Cell_2,36371,0,1,0,0
FMR1kif5a05_w597_STACK__outline.txt,Cell_1,43740,0,0,0,0
FMR1kif5a05_w597_STACK__outline.txt,Cell_2,31014.5,0,1,1,1
FMR1kif5a06_w597_STACK__outline.txt,Cell_2,33364,0,2,1,1
FMR1kif5a06_w597_STACK__outline.txt,Cell_3,47643,0,163,82,82
FMR1kif5a07_w597_STACK__outline.txt,Cell_1,55682,0,24,17,17
FMR1kif5a07_w597_STACK__outline.txt,Cell_2,25238,0,0,0,0
FMR1kif5a08_w597_STACK__outline.txt,Cell_1,54880.5,0,68,50,50
FMR1kif5a08_w597_STACK__outline.txt,Cell_2,23764.5,0,0,0,0
