FILE,CELL,AREA_cell,AREA_nuc,N_total,N_thres_Total,N_thres_Nuc
WTnol3_01_w597_STACK__outline.txt,Cell_2,32276,0,42,11,11
WTnol3_01_w597_STACK__outline.txt,Cell_3,23795,0,82,53,53
WTnol3_02_w597_STACK__outline.txt,Cell_1,81955,0,742,335,335
WTnol3_02_w597_STACK__outline.txt,Cell_2,58498,0,154,126,126
WTnol3_03_w597_STACK__outline.txt,Cell_1,39930.5,0,346,205,205
WTnol3_03_w597_STACK__outline.txt,Cell_2,15283,0,48,12,12
WTnol3_04_w597_STACK__outline.txt,Cell_1,30771.5,0,111,70,70
WTnol3_04_w597_STACK__outline.txt,Cell_2,22889.5,0,45,14,14
WTnol3_04_w597_STACK__outline.txt,Cell_3,38199.5,0,223,152,152
WTnol3_04_w597_STACK__outline.txt,Cell_4,17100,0,39,19,19
WTnol3_05_w597_STACK__outline.txt,Cell_1,40992.5,0,267,136,136
WTnol3_05_w597_STACK__outline.txt,Cell_2,22771.5,0,97,32,32
WTnol3_06_w597_STACK__outline.txt,Cell_1,53972,0,502,328,328
WTnol3_06_w597_STACK__outline.txt,Cell_2,27198,0,62,38,38
WTnol3_06_w597_STACK__outline.txt,Cell_3,65975,0,478,301,301
WTnol3_06_w597_STACK__outline.txt,Cell_4,21312,0,46,17,17
WTnol3_07_w597_STACK__outline.txt,Cell_1,58061,0,142,30,30
WTnol3_07_w597_STACK__outline.txt,Cell_2,44248,0,48,6,6
WTnol3_08_w597_STACK__outline.txt,Cell_1,44339,0,217,166,166
WTnol3_08_w597_STACK__outline.txt,Cell_2,15376,0,33,20,20
WTnol3_08_w597_STACK__outline.txt,Cell_3,44710,0,155,119,119
WTnol3_08_w597_STACK__outline.txt,Cell_4,33025.5,0,39,26,26
WTnol3_09_w597_STACK__outline.txt,Cell_1,35645,0,316,187,187
WTnol3_09_w597_STACK__outline.txt,Cell_2,21674.5,0,28,18,18
WTnol3_09_w597_STACK__outline.txt,Cell_3,43498.5,0,288,216,216
WTnol3_09_w597_STACK__outline.txt,Cell_4,23081,0,44,18,18
WTnol3-g_01_w597_STACK__outline.txt,Cell_1,42791,0,704,168,168
WTnol3-g_01_w597_STACK__outline.txt,Cell_2,43883,0,89,22,22
WTnol3-g_02_w597_STACK__outline.txt,Cell_1,27097.5,0,292,108,108
WTnol3-g_02_w597_STACK__outline.txt,Cell_2,24598,0,75,14,14
WTnol3-g_03_w597_STACK__outline.txt,Cell_1,30866,0,200,110,110
WTnol3-g_03_w597_STACK__outline.txt,Cell_2,30411.5,0,72,14,14
WTnol3-g_04_w597_STACK__outline.txt,Cell_1,32607,0,284,182,182
WTnol3-g_04_w597_STACK__outline.txt,Cell_2,26169,0,134,27,27
WTnol3-g_04_w597_STACK__outline.txt,Cell_3,39904,0,256,191,191
WTnol3-g_04_w597_STACK__outline.txt,Cell_4,46359,0,79,28,28
WTnol3-g_05_w597_STACK__outline.txt,Cell_1,40527.5,0,773,185,185
WTnol3-g_05_w597_STACK__outline.txt,Cell_2,35189,0,127,32,32
WTnol3-g_06_w597_STACK__outline.txt,Cell_1,48817.5,0,160,81,81
WTnol3-g_06_w597_STACK__outline.txt,Cell_2,30550.5,0,29,11,11
WTnol3-g_07_w597_STACK__outline.txt,Cell_1,34020.5,0,296,102,102
WTnol3-g_07_w597_STACK__outline.txt,Cell_2,23228,0,48,3,3
WTnol3-g_08_w597_STACK__outline.txt,Cell_1,38776.5,0,169,105,105
WTnol3-g_08_w597_STACK__outline.txt,Cell_2,39736,0,15,1,1
GFPnol3_11_w597_STACK__outline.txt,Cell_1,71385.5,0,296,206,206
GFPnol3_11_w597_STACK__outline.txt,Cell_2,39296.5,0,87,30,30
GFPnol3_12_w597_STACK__outline.txt,Cell_1,57553,0,694,211,211
GFPnol3_12_w597_STACK__outline.txt,Cell_2,41558.5,0,134,63,63
GFPnol3_13_w597_STACK__outline.txt,Cell_1,50789,0,713,325,325
GFPnol3_13_w597_STACK__outline.txt,Cell_2,41160.5,0,121,21,21
GFPnol3_14_w597_STACK__outline.txt,Cell_1,67698,0,1051,270,270
GFPnol3_14_w597_STACK__outline.txt,Cell_2,48544,0,267,56,56
GFPnol3_15_w597_STACK__outline.txt,Cell_1,61022,0,431,225,225
GFPnol3_15_w597_STACK__outline.txt,Cell_2,29828.5,0,97,15,15
GFPnol3_16_w597_STACK__outline.txt,Cell_1,101084,0,96,76,76
GFPnol3_16_w597_STACK__outline.txt,Cell_2,30512,0,4,3,3
