FISH-QUANT	
RESULTS OF SPOT DETECTION PERFORMED IN BATCH MODE ON 16-Apr-2019 
COMMENT	Batch detection
ANALYSIS-SETTINGS 	doug approved Final_settings_MATURE_190416.txt
FILE	CELL	AREA_cell	AREA_nuc	N_total	N_thres_Total	N_thres_Nuc
CADWTGFPnol3_01_w597_STACK__outline.txt	Cell_2	32276	0	42	11	11
CADWTGFPnol3_01_w597_STACK__outline.txt	Cell_3	23795	0	82	53	53
CADWTGFPnol3_02_w597_STACK__outline.txt	Cell_1	81955	0	742	335	335
CADWTGFPnol3_02_w597_STACK__outline.txt	Cell_2	58498	0	154	126	126
CADWTGFPnol3_03_w597_STACK__outline.txt	Cell_1	39930.5	0	346	205	205
CADWTGFPnol3_03_w597_STACK__outline.txt	Cell_2	15283	0	48	12	12
CADWTGFPnol3_04_w597_STACK__outline.txt	Cell_1	30771.5	0	111	70	70
CADWTGFPnol3_04_w597_STACK__outline.txt	Cell_2	22889.5	0	45	14	14
CADWTGFPnol3_04_w597_STACK__outline.txt	Cell_3	38199.5	0	223	152	152
CADWTGFPnol3_04_w597_STACK__outline.txt	Cell_4	17100	0	39	19	19
CADWTGFPnol3_05_w597_STACK__outline.txt	Cell_1	40992.5	0	267	136	136
CADWTGFPnol3_05_w597_STACK__outline.txt	Cell_2	22771.5	0	97	32	32
CADWTGFPnol3_06_w597_STACK__outline.txt	Cell_1	53972	0	502	328	328
CADWTGFPnol3_06_w597_STACK__outline.txt	Cell_2	27198	0	62	38	38
CADWTGFPnol3_06_w597_STACK__outline.txt	Cell_3	65975	0	478	301	301
CADWTGFPnol3_06_w597_STACK__outline.txt	Cell_4	21312	0	46	17	17
CADWTGFPnol3_07_w597_STACK__outline.txt	Cell_1	58061	0	142	30	30
CADWTGFPnol3_07_w597_STACK__outline.txt	Cell_2	44248	0	48	6	6
CADWTGFPnol3_08_w597_STACK__outline.txt	Cell_1	44339	0	217	166	166
CADWTGFPnol3_08_w597_STACK__outline.txt	Cell_2	15376	0	33	20	20
CADWTGFPnol3_08_w597_STACK__outline.txt	Cell_3	44710	0	155	119	119
CADWTGFPnol3_08_w597_STACK__outline.txt	Cell_4	33025.5	0	39	26	26
CADWTGFPnol3_09_w597_STACK__outline.txt	Cell_1	35645	0	316	187	187
CADWTGFPnol3_09_w597_STACK__outline.txt	Cell_2	21674.5	0	28	18	18
CADWTGFPnol3_09_w597_STACK__outline.txt	Cell_3	43498.5	0	288	216	216
CADWTGFPnol3_09_w597_STACK__outline.txt	Cell_4	23081	0	44	18	18
CADWTGFPnol3-g_01_w597_STACK__outline.txt	Cell_1	42791	0	704	168	168
CADWTGFPnol3-g_01_w597_STACK__outline.txt	Cell_2	43883	0	89	22	22
CADWTGFPnol3-g_02_w597_STACK__outline.txt	Cell_1	27097.5	0	292	108	108
CADWTGFPnol3-g_02_w597_STACK__outline.txt	Cell_2	24598	0	75	14	14
CADWTGFPnol3-g_03_w597_STACK__outline.txt	Cell_1	30866	0	200	110	110
CADWTGFPnol3-g_03_w597_STACK__outline.txt	Cell_2	30411.5	0	72	14	14
CADWTGFPnol3-g_04_w597_STACK__outline.txt	Cell_1	32607	0	284	182	182
CADWTGFPnol3-g_04_w597_STACK__outline.txt	Cell_2	26169	0	134	27	27
CADWTGFPnol3-g_04_w597_STACK__outline.txt	Cell_3	39904	0	256	191	191
CADWTGFPnol3-g_04_w597_STACK__outline.txt	Cell_4	46359	0	79	28	28
CADWTGFPnol3-g_05_w597_STACK__outline.txt	Cell_1	40527.5	0	773	185	185
CADWTGFPnol3-g_05_w597_STACK__outline.txt	Cell_2	35189	0	127	32	32
CADWTGFPnol3-g_06_w597_STACK__outline.txt	Cell_1	48817.5	0	160	81	81
CADWTGFPnol3-g_06_w597_STACK__outline.txt	Cell_2	30550.5	0	29	11	11
CADWTGFPnol3-g_07_w597_STACK__outline.txt	Cell_1	34020.5	0	296	102	102
CADWTGFPnol3-g_07_w597_STACK__outline.txt	Cell_2	23228	0	48	3	3
CADWTGFPnol3-g_08_w597_STACK__outline.txt	Cell_1	38776.5	0	169	105	105
CADWTGFPnol3-g_08_w597_STACK__outline.txt	Cell_2	39736	0	15	1	1
GFPnol3_01_w597_STACK__outline.txt	Cell_1	71385.5	0	296	206	206
GFPnol3_01_w597_STACK__outline.txt	Cell_2	39296.5	0	87	30	30
GFPnol3_02_w597_STACK__outline.txt	Cell_1	57553	0	694	211	211
GFPnol3_02_w597_STACK__outline.txt	Cell_2	41558.5	0	134	63	63
GFPnol3_03_w597_STACK__outline.txt	Cell_1	50789	0	713	325	325
GFPnol3_03_w597_STACK__outline.txt	Cell_2	41160.5	0	121	21	21
GFPnol3_04_w597_STACK__outline.txt	Cell_1	67698	0	1051	270	270
GFPnol3_04_w597_STACK__outline.txt	Cell_2	48544	0	267	56	56
GFPnol3_05_w597_STACK__outline.txt	Cell_1	61022	0	431	225	225
GFPnol3_05_w597_STACK__outline.txt	Cell_2	29828.5	0	97	15	15
GFPnol3_06_w597_STACK__outline.txt	Cell_1	101084	0	96	76	76
GFPnol3_06_w597_STACK__outline.txt	Cell_2	30512	0	4	3	3
