FISH-QUANT	
RESULTS OF SPOT DETECTION PERFORMED IN BATCH MODE ON 05-Apr-2019 
COMMENT	Batch detection
ANALYSIS-SETTINGS 	doug approved_MATURE_results_190404.txt
FILE	CELL	AREA_cell	AREA_nuc	N_total	N_thres_Total	N_thres_Nuc
FMR1blank01_w597_STACK__outline.txt	Cell_1	77393	0	568	522	522
FMR1blank01_w597_STACK__outline.txt	Cell_2	39450.5	0	106	102	102
FMR1blank02_w597_STACK__outline.txt	Cell_1	85599.5	0	810	661	661
FMR1blank02_w597_STACK__outline.txt	Cell_2	29949.5	0	127	111	111
FMR1blank03_w597_STACK__outline.txt	Cell_1	42369.5	0	532	425	425
FMR1blank03_w597_STACK__outline.txt	Cell_2	31312.5	0	80	9	9
FMR1blank03_w597_STACK__outline.txt	Cell_3	44226.5	0	639	456	456
FMR1blank03_w597_STACK__outline.txt	Cell_6	23902.5	0	182	111	111
FMR1blank04_w597_STACK__outline.txt	Cell_1	81993	0	599	516	516
FMR1blank04_w597_STACK__outline.txt	Cell_2	45522.5	0	222	180	180
FMR1blank05_w597_STACK__outline.txt	Cell_1	67184.5	0	766	558	558
FMR1blank05_w597_STACK__outline.txt	Cell_2	30561	0	139	105	105
FMR1blank06_w597_STACK__outline.txt	Cell_1	97802	0	926	732	732
FMR1blank06_w597_STACK__outline.txt	Cell_2	24742	0	151	110	110
FMR1blank07_w597_STACK__outline.txt	Cell_1	47632	0	805	526	526
FMR1blank07_w597_STACK__outline.txt	Cell_2	20109	0	118	87	87
FMR1blank08_w597_STACK__outline.txt	Cell_1	33349.5	0	506	376	376
FMR1blank08_w597_STACK__outline.txt	Cell_2	29510	0	138	74	74
FMR1blank09_w597_STACK__outline.txt	Cell_1	65304	0	680	486	486
FMR1blank09_w597_STACK__outline.txt	Cell_2	23447	0	93	60	60
FMR1blank10_w597_STACK__outline.txt	Cell_1	56876	0	575	468	468
FMR1blank10_w597_STACK__outline.txt	Cell_2	38359	0	97	64	64
FMR1kif5a01_w597_STACK__outline.txt	Cell_1	48116	0	702	513	513
FMR1kif5a01_w597_STACK__outline.txt	Cell_4	21755.5	0	109	77	77
FMR1kif5a02_w597_STACK__outline.txt	Cell_1	63853	0	577	495	495
FMR1kif5a02_w597_STACK__outline.txt	Cell_2	31223.5	0	89	53	53
FMR1kif5a03_w597_STACK__outline.txt	Cell_1	37268.5	0	480	437	437
FMR1kif5a03_w597_STACK__outline.txt	Cell_2	35122.5	0	203	175	175
FMR1kif5a04_w597_STACK__outline.txt	Cell_1	35268.5	0	380	306	306
FMR1kif5a04_w597_STACK__outline.txt	Cell_2	29844.5	0	139	94	94
FMR1kif5a04_w597_STACK__outline.txt	Cell_3	39895	0	596	446	446
FMR1kif5a04_w597_STACK__outline.txt	Cell_4	21400	0	79	27	27
FMR1kif5a05_w597_STACK__outline.txt	Cell_1	69328.5	0	768	665	665
FMR1kif5a05_w597_STACK__outline.txt	Cell_2	32562.5	0	159	108	108
FMR1kif5a06_w597_STACK__outline.txt	Cell_1	87061.5	0	746	598	598
FMR1kif5a06_w597_STACK__outline.txt	Cell_2	18685	0	86	72	72
FMR1kif5a07_w597_STACK__outline.txt	Cell_1	62665.5	0	566	425	425
FMR1kif5a07_w597_STACK__outline.txt	Cell_2	26807	0	122	77	77
FMR1kif5a08_w597_STACK__outline.txt	Cell_1	42223	0	669	523	523
FMR1kif5a08_w597_STACK__outline.txt	Cell_2	42105.5	0	184	94	94
FMR1kif5a09_w597_STACK__outline.txt	Cell_1	71074.5	0	1152	844	844
FMR1kif5a09_w597_STACK__outline.txt	Cell_2	12514.5	0	54	30	30
FMR1kif5a09_w597_STACK__outline.txt	Cell_3	47214	0	632	361	361
FMR1kif5a09_w597_STACK__outline.txt	Cell_4	22501.5	0	54	27	27
FMR1kif5a10_w597_STACK__outline.txt	Cell_1	45289.5	0	445	189	189
FMR1kif5a10_w597_STACK__outline.txt	Cell_2	38629.5	0	64	32	32
FMR1kif5a-g01_w597_STACK__outline.txt	Cell_1	55193	0	375	227	227
FMR1kif5a-g01_w597_STACK__outline.txt	Cell_2	23097.5	0	86	7	7
