FISH-QUANT	
RESULTS OF SPOT DETECTION PERFORMED IN BATCH MODE ON 20-Mar-2019 
COMMENT	Batch detection
ANALYSIS-SETTINGS 	exp_param_set_MATURE_190320.txt
FILE	CELL	AREA_cell	AREA_nuc	N_total	N_thres_Total	N_thres_Nuc
FMR1blank01_w597_STACK__outline.txt	Cell_1	56872.5	0	766	676	676
FMR1blank01_w597_STACK__outline.txt	Cell_2	22747.5	0	14	14	14
FMR1blank02_w597_STACK__outline.txt	Cell_1	82556	0	2	2	2
FMR1blank02_w597_STACK__outline.txt	Cell_2	27624	0	0	0	0
FMR1blank03_w597_STACK__outline.txt	Cell_1	60698	0	5	5	5
FMR1blank03_w597_STACK__outline.txt	Cell_2	37844	0	1	1	1
FMR1blank04_w597_STACK__outline.txt	Cell_3	37621	0	714	625	625
FMR1blank04_w597_STACK__outline.txt	Cell_6	40791	0	7	7	7
FMR1blank05_w597_STACK__outline.txt	Cell_1	87969	0	255	221	221
FMR1blank05_w597_STACK__outline.txt	Cell_2	41896.5	0	2	2	2
FMR1blank06_w597_STACK__outline.txt	Cell_1	48997.5	0	680	562	562
FMR1blank06_w597_STACK__outline.txt	Cell_2	38773	0	3	3	3
FMR1blank07_w597_STACK__outline.txt	Cell_2	36205.5	0	0	0	0
FMR1blank07_w597_STACK__outline.txt	Cell_3	54037.5	0	1	1	1
FMR1blank08_w597_STACK__outline.txt	Cell_1	61019.5	0	859	761	761
FMR1blank08_w597_STACK__outline.txt	Cell_2	27295.5	0	7	7	7
FMR1blank09_w597_STACK__outline.txt	Cell_1	29786	0	432	363	363
FMR1blank09_w597_STACK__outline.txt	Cell_2	16869.5	0	18	18	18
FMR1blank10_w525_STACK__outline.txt	Cell_1	72270.5	0	1627	773	773
FMR1blank10_w525_STACK__outline.txt	Cell_2	52650	0	427	191	191
FMR1blank11_w597_STACK__outline.txt	Cell_1	134566	0	578	516	516
FMR1blank11_w597_STACK__outline.txt	Cell_2	25406.5	0	4	4	4
FMR1blank12_w525_STACK__outline.txt	Cell_1	35332.5	0	1578	396	396
FMR1blank12_w525_STACK__outline.txt	Cell_2	42815	0	120	43	43
FMR1blank13_w597_STACK__outline.txt	Cell_1	60839	0	696	641	641
FMR1blank13_w597_STACK__outline.txt	Cell_2	31296.5	0	12	11	11
FMR1blank15_w597_STACK__outline.txt	Cell_1	32217	0	282	266	266
FMR1blank15_w597_STACK__outline.txt	Cell_2	34025	0	55	51	51
FMR1blank16_w597_STACK__outline.txt	Cell_1	26523.5	0	388	323	323
FMR1blank16_w597_STACK__outline.txt	Cell_2	36013	0	13	9	9
FMR1blank17_w597_STACK__outline.txt	Cell_1	61680.5	0	150	137	137
FMR1blank17_w597_STACK__outline.txt	Cell_2	29915.5	0	9	4	4
FMR1blank18_w597_STACK__outline.txt	Cell_2	47029.5	0	42	40	40
FMR1blank18_w597_STACK__outline.txt	Cell_3	51785	0	649	597	597
FMR1blank19_w597_STACK__outline.txt	Cell_1	64336.5	0	351	334	334
FMR1blank19_w597_STACK__outline.txt	Cell_2	42363.5	0	18	16	16
FMR1kif5a01_w597_STACK__outline.txt	Cell_1	32301	0	13	12	12
FMR1kif5a01_w597_STACK__outline.txt	Cell_2	26726	0	0	0	0
FMR1kif5a02_w597_STACK__outline.txt	Cell_2	51530.5	0	8	8	8
FMR1kif5a02_w597_STACK__outline.txt	Cell_3	72252.5	0	268	257	257
FMR1kif5a03_w597_STACK__outline.txt	Cell_3	81407	0	378	348	348
FMR1kif5a03_w597_STACK__outline.txt	Cell_8	42889.5	0	5	5	5
FMR1kif5a04_w597_STACK__outline.txt	Cell_1	90435	0	610	484	484
FMR1kif5a04_w597_STACK__outline.txt	Cell_2	36371	0	7	7	7
FMR1kif5a05_w597_STACK__outline.txt	Cell_1	43740	0	23	19	19
FMR1kif5a05_w597_STACK__outline.txt	Cell_2	31014.5	0	4	4	4
FMR1kif5a06_w597_STACK__outline.txt	Cell_2	33364	0	32	32	32
FMR1kif5a06_w597_STACK__outline.txt	Cell_3	47643	0	595	549	549
FMR1kif5a07_w597_STACK__outline.txt	Cell_1	55682	0	453	398	398
FMR1kif5a07_w597_STACK__outline.txt	Cell_2	25238	0	6	6	6
FMR1kif5a08_w597_STACK__outline.txt	Cell_1	54880.5	0	619	576	576
FMR1kif5a08_w597_STACK__outline.txt	Cell_2	23764.5	0	7	7	7
FMR1kif5a09_w597_STACK__outline.txt	Cell_4	29712	0	0	0	0
FMR1kif5a09_w597_STACK__outline.txt	Cell_5	55254.5	0	6	6	6
FMR1kif5a09_w597_STACK__outline.txt	Cell_6	20337.5	0	0	0	0
FMR1kif5a09_w597_STACK__outline.txt	Cell_7	50310.5	0	3	3	3
FMR1kif5a10_w597_STACK__outline.txt	Cell_1	61364	0	13	10	10
FMR1kif5a10_w597_STACK__outline.txt	Cell_2	41322	0	1	0	0
FMR1kif5a10_w597_STACK__outline.txt	Cell_3	48060.5	0	2	2	2
FMR1kif5a10_w597_STACK__outline.txt	Cell_4	21580.5	0	1	1	1
FMR1kif5a11_w597_STACK__outline.txt	Cell_1	69128.5	0	785	740	740
FMR1kif5a11_w597_STACK__outline.txt	Cell_2	31882	0	44	43	43
FMR1kif5a12_w597_STACK__outline.txt	Cell_1	56462	0	74	73	73
FMR1kif5a12_w597_STACK__outline.txt	Cell_2	37115	0	0	0	0
FMR1kif5a13_w597_STACK__outline.txt	Cell_2	38544.5	0	0	0	0
FMR1kif5a13_w597_STACK__outline.txt	Cell_3	63375	0	1	1	1
FMR1kif5a13_w597_STACK__outline.txt	Cell_4	44060.5	0	0	0	0
FMR1kif5a13_w597_STACK__outline.txt	Cell_5	53777	0	5	4	4
FMR1kif5a14_w597_STACK__outline.txt	Cell_1	33004.5	0	3	2	2
FMR1kif5a14_w597_STACK__outline.txt	Cell_2	52438.5	0	0	0	0
FMR1kif5a-g01_w597_STACK__outline.txt	Cell_1	35323.5	0	488	425	425
FMR1kif5a-g01_w597_STACK__outline.txt	Cell_2	23446.5	0	12	4	4
FMR1kif5a-g01_w597_STACK__outline.txt	Cell_3	44698	0	718	600	600
FMR1kif5a-g01_w597_STACK__outline.txt	Cell_4	18177	0	1	0	0
FMR1kif5a-g01_w597_STACK__outline.txt	Cell_5	30763.5	0	197	164	164
FMR1kif5a-g01_w597_STACK__outline.txt	Cell_6	10549.5	0	12	7	7
FMR1kif5a-g02_w597_STACK__outline.txt	Cell_2	39591	0	79	78	78
FMR1kif5a-g02_w597_STACK__outline.txt	Cell_3	48503	0	272	251	251
FMR1kif5a-g03_w597_STACK__outline.txt	Cell_1	72045	0	58	56	56
FMR1kif5a-g03_w597_STACK__outline.txt	Cell_2	55143	0	12	12	12
